current density,FE
44.898990,0.164646
44.898990,0.172727
44.898990,0.180808
44.898990,0.188889
44.898990,0.196970
44.898990,0.205051
44.898990,0.213131
44.898990,0.221212
44.898990,0.229293
44.898990,0.237374
44.898990,0.245455
44.898990,0.253535
44.898990,0.261616
44.898990,0.269697
44.898990,0.277778
44.898990,0.285859
44.898990,0.293939
44.898990,0.302020
44.898990,0.310101
44.898990,0.318182
44.898990,0.326263
44.898990,0.334343
44.898990,0.342424
44.898990,0.350505
44.898990,0.358586
44.898990,0.366667
44.898990,0.374747
44.898990,0.382828
44.898990,0.390909
44.898990,0.398990
44.898990,0.407071
44.898990,0.415152
44.898990,0.423232
44.898990,0.431313
44.898990,0.439394
44.898990,0.447475
44.898990,0.455556
44.898990,0.463636
44.898990,0.471717
44.898990,0.479798
44.898990,0.487879
44.898990,0.495960
44.898990,0.504040
44.898990,0.512121
44.898990,0.520202
44.898990,0.528283
44.898990,0.536364
44.898990,0.544444
44.898990,0.552525
44.898990,0.560606
44.898990,0.568687
44.898990,0.576768
44.898990,0.584848
44.898990,0.592929
44.898990,0.601010
44.898990,0.609091
44.898990,0.617172
44.898990,0.625253
44.898990,0.633333
44.898990,0.641414
44.898990,0.649495
44.898990,0.657576
44.898990,0.665657
44.898990,0.673737
44.898990,0.681818
44.898990,0.689899
44.898990,0.697980
44.898990,0.706061
44.898990,0.714141
44.898990,0.722222
44.898990,0.730303
44.898990,0.738384
44.898990,0.746465
44.898990,0.754545
44.898990,0.762626
44.898990,0.770707
44.898990,0.778788
44.898990,0.786869
44.898990,0.794949
44.898990,0.803030
44.898990,0.811111
44.898990,0.819192
44.898990,0.827273
44.898990,0.835354
44.898990,0.843434
44.898990,0.851515
44.898990,0.859596
44.898990,0.867677
44.898990,0.875758
44.898990,0.883838
44.898990,0.891919
44.898990,0.900000
48.888889,0.100000
48.888889,0.108081
48.888889,0.116162
48.888889,0.124242
48.888889,0.132323
48.888889,0.140404
48.888889,0.148485
48.888889,0.156566
48.888889,0.164646
48.888889,0.172727
48.888889,0.180808
48.888889,0.188889
48.888889,0.196970
48.888889,0.205051
48.888889,0.213131
48.888889,0.221212
48.888889,0.229293
48.888889,0.237374
48.888889,0.245455
48.888889,0.253535
48.888889,0.261616
48.888889,0.269697
48.888889,0.277778
48.888889,0.285859
48.888889,0.293939
48.888889,0.302020
48.888889,0.310101
48.888889,0.318182
48.888889,0.326263
48.888889,0.334343
48.888889,0.342424
48.888889,0.350505
48.888889,0.358586
48.888889,0.366667
48.888889,0.374747
48.888889,0.382828
48.888889,0.390909
48.888889,0.398990
48.888889,0.407071
48.888889,0.415152
48.888889,0.423232
48.888889,0.431313
48.888889,0.439394
48.888889,0.447475
48.888889,0.455556
48.888889,0.463636
48.888889,0.471717
48.888889,0.479798
48.888889,0.487879
48.888889,0.495960
48.888889,0.504040
48.888889,0.512121
48.888889,0.520202
48.888889,0.528283
48.888889,0.536364
48.888889,0.544444
48.888889,0.552525
48.888889,0.560606
48.888889,0.568687
48.888889,0.576768
48.888889,0.584848
48.888889,0.592929
48.888889,0.601010
48.888889,0.609091
48.888889,0.617172
48.888889,0.625253
48.888889,0.633333
48.888889,0.641414
48.888889,0.649495
48.888889,0.657576
48.888889,0.665657
48.888889,0.673737
48.888889,0.681818
48.888889,0.689899
48.888889,0.697980
48.888889,0.706061
48.888889,0.714141
48.888889,0.722222
48.888889,0.730303
48.888889,0.738384
48.888889,0.746465
48.888889,0.754545
48.888889,0.762626
48.888889,0.770707
48.888889,0.778788
48.888889,0.786869
48.888889,0.794949
48.888889,0.803030
48.888889,0.811111
48.888889,0.819192
48.888889,0.827273
48.888889,0.835354
48.888889,0.843434
48.888889,0.851515
48.888889,0.859596
48.888889,0.867677
48.888889,0.875758
48.888889,0.883838
48.888889,0.891919
48.888889,0.900000
52.878788,0.100000
52.878788,0.108081
52.878788,0.116162
52.878788,0.124242
52.878788,0.132323
52.878788,0.140404
52.878788,0.148485
52.878788,0.156566
52.878788,0.164646
52.878788,0.172727
52.878788,0.180808
52.878788,0.188889
52.878788,0.196970
52.878788,0.205051
52.878788,0.213131
52.878788,0.221212
52.878788,0.229293
52.878788,0.237374
52.878788,0.245455
52.878788,0.253535
52.878788,0.261616
52.878788,0.269697
52.878788,0.277778
52.878788,0.285859
52.878788,0.293939
52.878788,0.302020
52.878788,0.310101
52.878788,0.318182
52.878788,0.326263
52.878788,0.334343
52.878788,0.342424
52.878788,0.350505
52.878788,0.358586
52.878788,0.366667
52.878788,0.374747
52.878788,0.382828
52.878788,0.390909
52.878788,0.398990
52.878788,0.407071
52.878788,0.415152
52.878788,0.423232
52.878788,0.431313
52.878788,0.439394
52.878788,0.447475
52.878788,0.455556
52.878788,0.463636
52.878788,0.471717
52.878788,0.479798
52.878788,0.487879
52.878788,0.495960
52.878788,0.504040
52.878788,0.512121
52.878788,0.520202
52.878788,0.528283
52.878788,0.536364
52.878788,0.544444
52.878788,0.552525
52.878788,0.560606
52.878788,0.568687
52.878788,0.576768
52.878788,0.584848
52.878788,0.592929
52.878788,0.601010
52.878788,0.609091
